,0
0,0.0
1,0.1
2,0.2
3,0.30000000000000004
4,0.4
5,0.5
6,0.6000000000000001
7,0.7000000000000001
8,0.8
9,0.9
10,1.0
11,1.1
12,1.2000000000000002
13,1.3
14,1.4000000000000001
15,1.5
16,1.6
17,1.7000000000000002
18,1.8
19,1.9000000000000001
20,2.0
21,2.1
22,2.2
23,2.3000000000000003
24,2.4000000000000004
25,2.5
26,2.6
27,2.7
28,2.8000000000000003
29,2.9000000000000004
30,3.0
31,3.1
32,3.2
33,3.3000000000000003
34,3.4000000000000004
35,3.5
36,3.6
37,3.7
38,3.8000000000000003
39,3.9000000000000004
40,4.0
41,4.1000000000000005
42,4.2
43,4.3
44,4.4
45,4.5
46,4.6000000000000005
47,4.7
48,4.800000000000001
49,4.9
50,5.0
51,5.1000000000000005
52,5.2
53,5.300000000000001
54,5.4
55,5.5
56,5.6000000000000005
57,5.7
58,5.800000000000001
59,5.9
60,6.0
61,6.1000000000000005
62,6.2
63,6.300000000000001
64,6.4
65,6.5
66,6.6000000000000005
67,6.7
68,6.800000000000001
69,6.9
70,7.0
71,7.1000000000000005
72,7.2
73,7.300000000000001
74,7.4
75,7.5
76,7.6000000000000005
77,7.7
78,7.800000000000001
79,7.9
80,8.0
81,8.1
82,8.200000000000001
83,8.3
84,8.4
85,8.5
86,8.6
87,8.700000000000001
88,8.8
89,8.9
90,9.0
91,9.1
92,9.200000000000001
93,9.3
94,9.4
95,9.5
96,9.600000000000001
97,9.700000000000001
98,9.8
99,9.9
100,10.0
101,10.100000000000001
102,10.200000000000001
103,10.3
104,10.4
105,10.5
106,10.600000000000001
107,10.700000000000001
108,10.8
109,10.9
110,11.0
111,11.100000000000001
112,11.200000000000001
113,11.3
114,11.4
115,11.5
116,11.600000000000001
117,11.700000000000001
118,11.8
119,11.9
120,12.0
121,12.100000000000001
122,12.200000000000001
123,12.3
124,12.4
125,12.5
126,12.600000000000001
127,12.700000000000001
128,12.8
129,12.9
130,13.0
131,13.100000000000001
132,13.200000000000001
133,13.3
134,13.4
135,13.5
136,13.600000000000001
137,13.700000000000001
138,13.8
139,13.9
140,14.0
141,14.100000000000001
142,14.200000000000001
143,14.3
144,14.4
145,14.5
146,14.600000000000001
147,14.700000000000001
148,14.8
149,14.9
150,15.0
151,15.100000000000001
152,15.200000000000001
153,15.3
154,15.4
155,15.5
156,15.600000000000001
157,15.700000000000001
158,15.8
159,15.9
160,16.0
161,16.1
162,16.2
163,16.3
164,16.400000000000002
165,16.5
166,16.6
167,16.7
168,16.8
169,16.900000000000002
170,17.0
171,17.1
172,17.2
173,17.3
174,17.400000000000002
175,17.5
176,17.6
177,17.7
178,17.8
179,17.900000000000002
180,18.0
181,18.1
182,18.2
183,18.3
184,18.400000000000002
185,18.5
186,18.6
187,18.7
188,18.8
189,18.900000000000002
190,19.0
191,19.1
192,19.200000000000003
193,19.3
194,19.400000000000002
195,19.5
196,19.6
197,19.700000000000003
198,19.8
199,19.900000000000002
200,20.0
