,0
0,0.8
1,0.9
2,1.0
3,1.1
4,1.2000000000000002
5,1.3
6,1.4000000000000001
7,1.5
8,1.6
9,1.7000000000000002
10,1.8
11,1.9000000000000001
12,2.0
13,2.1
14,2.2
15,2.3000000000000003
16,2.4000000000000004
17,2.5
18,2.6
19,2.7
20,2.8000000000000003
21,2.9000000000000004
22,3.0
23,3.1
24,3.2
25,3.3000000000000003
26,3.4000000000000004
27,3.5
28,3.6
29,3.7
30,3.8000000000000003
31,3.9000000000000004
32,4.0
33,4.1000000000000005
34,4.2
35,4.3
36,4.4
37,4.5
38,4.6000000000000005
39,4.7
40,4.800000000000001
41,4.9
42,5.0
43,5.1000000000000005
44,5.2
45,5.300000000000001
46,5.4
47,5.5
48,5.6000000000000005
49,5.7
50,5.800000000000001
51,5.9
52,6.0
53,6.1000000000000005
54,6.2
55,6.300000000000001
56,6.4
57,6.5
58,6.6000000000000005
59,6.7
60,6.800000000000001
61,6.9
62,7.0
63,7.1000000000000005
64,7.2
65,7.300000000000001
66,7.4
67,7.5
68,7.6000000000000005
69,7.7
70,7.800000000000001
71,7.9
72,8.0
73,8.1
74,8.200000000000001
75,8.3
76,8.4
77,8.5
78,8.6
79,8.700000000000001
80,8.8
81,8.9
82,9.0
83,9.1
84,9.200000000000001
85,9.3
86,9.4
87,9.5
88,9.600000000000001
89,9.700000000000001
90,9.8
91,9.9
92,10.0
93,10.100000000000001
94,10.200000000000001
95,10.3
96,10.4
97,10.5
98,10.600000000000001
99,10.700000000000001
100,10.8
101,10.9
102,11.0
103,11.100000000000001
104,11.200000000000001
105,11.3
106,11.4
107,11.5
108,11.600000000000001
109,11.700000000000001
110,11.8
111,11.9
112,12.0
113,12.100000000000001
114,12.200000000000001
115,12.3
116,12.4
117,12.5
118,12.600000000000001
119,12.700000000000001
120,12.8
121,12.9
122,13.0
123,13.100000000000001
124,13.200000000000001
125,13.3
126,13.4
127,13.5
128,13.600000000000001
129,13.700000000000001
130,13.8
131,13.9
132,14.0
133,14.100000000000001
134,14.200000000000001
135,14.3
136,14.4
137,14.5
138,14.600000000000001
139,14.700000000000001
140,14.8
141,14.9
142,15.0
143,15.100000000000001
144,15.200000000000001
145,15.3
146,15.4
147,15.5
148,15.600000000000001
149,15.700000000000001
150,15.8
151,15.9
152,16.0
153,16.1
154,16.2
155,16.3
156,16.400000000000002
157,16.5
158,16.6
159,16.7
160,16.8
161,16.900000000000002
162,17.0
163,17.1
164,17.2
165,17.3
166,17.400000000000002
167,17.5
168,17.6
169,17.7
170,17.8
171,17.900000000000002
172,18.0
173,18.1
174,18.2
175,18.3
176,18.400000000000002
177,18.5
178,18.6
179,18.7
180,18.8
181,18.900000000000002
182,19.0
183,19.1
184,19.200000000000003
185,19.3
186,19.400000000000002
187,19.5
188,19.6
189,19.700000000000003
190,19.8
191,19.900000000000002
192,20.0
